lang_id,lang_name,tonal,resource,family,checkpoint,config,layers,trr,per_layer_r,wer,wer_delta,halluc_rate,halluc_n_high_cr,halluc_n_empty,mean_hyp_words,mean_ref_words,seq_len_final,n_samples,elapsed_s
mt_mt,Maltese,False,Low,Semitic,checkpoint-2000,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.1,0.013084,0.760608,0.001425,0.0,0,0,18.67,19.14,1354,264,456.5
mt_mt,Maltese,False,Low,Semitic,checkpoint-2000,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.2,0.027508,0.758391,-0.000792,0.0,0,0,18.64,19.14,1204,264,438.7
mt_mt,Maltese,False,Low,Semitic,checkpoint-2000,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.3,0.043605,0.758233,-0.00095,0.0,0,0,18.64,19.14,1054,264,423.2
mt_mt,Maltese,False,Low,Semitic,checkpoint-2000,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.4,0.061857,0.76045,0.001267,0.0,0,0,18.71,19.14,904,264,409.3
jv_id,Javanese,False,Very Low,Austronesian,checkpoint-2000,baseline_ft,[],0.0,0.0,0.51236,0.0,0.0,0,0,19.61,19.76,1500,264,364.1
jv_id,Javanese,False,Very Low,Austronesian,checkpoint-2000,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.05,0.006391,0.51236,0.0,0.0,0,0,19.69,19.76,1428,264,360.8
jv_id,Javanese,False,Very Low,Austronesian,checkpoint-2000,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.1,0.013084,0.507116,-0.005243,0.0,0,0,19.69,19.76,1354,264,354.0
jv_id,Javanese,False,Very Low,Austronesian,checkpoint-2000,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.2,0.027508,0.508801,-0.003558,0.0,0,0,19.66,19.76,1204,264,340.1
jv_id,Javanese,False,Very Low,Austronesian,checkpoint-2000,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.3,0.043605,0.504494,-0.007865,0.0,0,0,19.65,19.76,1054,264,330.5
jv_id,Javanese,False,Very Low,Austronesian,checkpoint-2000,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.4,0.061857,0.50824,-0.00412,0.0,0,0,19.73,19.76,904,264,318.1
