lang_id,lang_name,tonal,resource,family,model,config,layers,trr,per_layer_r,wer,wer_delta,halluc_rate,halluc_n_high_cr,halluc_n_empty,mean_hyp_words,mean_ref_words,seq_len_final,n_samples,elapsed_s
is_is,Icelandic,False,Low,Germanic,whisper-large-v3,baseline,[],0.0,0.0,0.315586,0.0,0.0,0,0,22.63,22.26,1500,264,130.5
is_is,Icelandic,False,Low,Germanic,whisper-large-v3,A,"[2, 5, 8, 11, 14, 17, 20, 23, 26, 29]",0.05,0.005116,0.320426,0.00484,0.0,0,0,22.57,22.26,1430,264,125.3
is_is,Icelandic,False,Low,Germanic,whisper-large-v3,A,"[2, 5, 8, 11, 14, 17, 20, 23, 26, 29]",0.1,0.010481,0.325266,0.009681,0.0,0,0,22.65,22.26,1355,264,121.9
is_is,Icelandic,False,Low,Germanic,whisper-large-v3,A,"[2, 5, 8, 11, 14, 17, 20, 23, 26, 29]",0.2,0.022067,0.32333,0.007744,0.0,0,0,22.65,22.26,1205,264,113.1
is_is,Icelandic,False,Low,Germanic,whisper-large-v3,A,"[2, 5, 8, 11, 14, 17, 20, 23, 26, 29]",0.3,0.035039,0.315586,0.0,0.0,0,0,22.7,22.26,1054,264,104.8
is_is,Icelandic,False,Low,Germanic,whisper-large-v3,A,"[2, 5, 8, 11, 14, 17, 20, 23, 26, 29]",0.4,0.0498,0.310745,-0.00484,0.0,0,0,22.74,22.26,905,264,98.1
cy_gb,Welsh,False,Low,Celtic,whisper-large-v3,baseline,[],0.0,0.0,0.295041,0.0,0.0,0,0,23.96,24.04,1500,264,684.7
cy_gb,Welsh,False,Low,Celtic,whisper-large-v3,A,"[2, 5, 8, 11, 14, 17, 20, 23, 26, 29]",0.05,0.005116,0.293856,-0.001184,0.0,0,0,24.02,24.04,1430,264,657.8
cy_gb,Welsh,False,Low,Celtic,whisper-large-v3,A,"[2, 5, 8, 11, 14, 17, 20, 23, 26, 29]",0.1,0.010481,0.292672,-0.002369,0.0,0,0,24.03,24.04,1355,264,640.3
cy_gb,Welsh,False,Low,Celtic,whisper-large-v3,A,"[2, 5, 8, 11, 14, 17, 20, 23, 26, 29]",0.2,0.022067,0.294004,-0.001036,0.0,0,0,24.02,24.04,1205,264,594.9
cy_gb,Welsh,False,Low,Celtic,whisper-large-v3,A,"[2, 5, 8, 11, 14, 17, 20, 23, 26, 29]",0.3,0.035039,0.295633,0.000592,0.0,0,0,24.03,24.04,1054,264,550.4
cy_gb,Welsh,False,Low,Celtic,whisper-large-v3,A,"[2, 5, 8, 11, 14, 17, 20, 23, 26, 29]",0.4,0.0498,0.30037,0.005329,0.0,0,0,23.91,24.04,905,264,518.5
kk_kz,Kazakh,False,Very Low,Turkic,whisper-large-v3,baseline,[],0.0,0.0,0.40103,0.0,0.0,0,0,17.35,17.4,1500,264,977.2
kk_kz,Kazakh,False,Very Low,Turkic,whisper-large-v3,A,"[2, 5, 8, 11, 14, 17, 20, 23, 26, 29]",0.05,0.005116,0.400601,-0.000429,0.0,0,0,17.35,17.4,1430,264,936.5
kk_kz,Kazakh,False,Very Low,Turkic,whisper-large-v3,A,"[2, 5, 8, 11, 14, 17, 20, 23, 26, 29]",0.1,0.010481,0.403392,0.002362,0.0,0,0,17.33,17.4,1355,264,907.0
kk_kz,Kazakh,False,Very Low,Turkic,whisper-large-v3,A,"[2, 5, 8, 11, 14, 17, 20, 23, 26, 29]",0.2,0.022067,0.400601,-0.000429,0.0,0,0,17.34,17.4,1205,264,841.9
kk_kz,Kazakh,False,Very Low,Turkic,whisper-large-v3,A,"[2, 5, 8, 11, 14, 17, 20, 23, 26, 29]",0.3,0.035039,0.397166,-0.003864,0.0,0,0,17.35,17.4,1054,264,784.1
kk_kz,Kazakh,False,Very Low,Turkic,whisper-large-v3,A,"[2, 5, 8, 11, 14, 17, 20, 23, 26, 29]",0.4,0.0498,0.408974,0.007943,0.0,0,0,17.26,17.4,905,264,731.2
